country,country_code,2010,2012,2014,2016,2018,2020
"Singapore","SGP",9,10,9,9,8,8
"Solomon Islands","SLB",33,33,33,32,31,30
"Sierra Leone","SLE",38,37,35,34,33,31
"El Salvador","SLV",19,19,18,17,16,16
"San Marino","SMR",10,8,9,7,6,6
"Somalia","SOM",47,47,46,46,44,44
"Serbia","SRB",9,9,9,9,9,8
"Sub-Saharan Africa (excluding high income)","SSA",39,38,37,36,35,35
"South Sudan","SSD",40,39,38,35,30,29
"Sub-Saharan Africa","SSF",39,38,37,36,35,35
"Small states","SST",23,23,22,22,21,20
"Sao Tome and Principe","STP",36,36,34,31,29,28
"Suriname","SUR",20,19,19,18,18,18
"Slovak Republic","SVK",11,10,10,10,10,10
"Slovenia","SVN",10,10,10,9,9,8
"Sweden","SWE",12,11,11,11,11,10
"Eswatini","SWZ",30,29,28,27,25,24
"Sint Maarten (Dutch part)","SXM",13,12,14,,,
"Seychelles","SYC",16,18,17,17,17,15
"Syrian Arab Republic","SYR",28,26,22,18,18,19
"Turks and Caicos Islands","TCA",13,13,12,13,13,12
"Chad","TCD",48,48,46,45,44,43
"East Asia & Pacific (IDA & IBRD countries)","TEA",14,16,15,15,12,11
"Europe & Central Asia (IDA & IBRD countries)","TEC",14,14,15,14,13,12
"Togo","TGO",37,35,34,34,33,32
"Thailand","THA",11,11,11,10,9,9
"Tajikistan","TJK",31,31,31,30,28,27
"Turkmenistan","TKM",25,26,26,25,23,22
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",18,18,17,16,16,15
"Timor-Leste","TLS",31,29,28,27,25,25
"Middle East & North Africa (IDA & IBRD countries)","TMN",25,25,25,23,22,21
"Tonga","TON",27,26,25,24,23,23
"South Asia (IDA & IBRD)","TSA",22,22,20,20,19,18
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",39,38,37,36,35,35
"Trinidad and Tobago","TTO",14,14,13,13,12,11
"Tunisia","TUN",18,19,19,18,17,16
"Turkiye","TUR",17,17,17,17,16,15
"Tuvalu","TUV",22,22,22,22,23,23
"Tanzania","TZA",39,38,38,38,37,36
"Uganda","UGA",43,41,40,38,38,37
"Ukraine","UKR",10,11,10,10,8,7
"Upper middle income","UMC",14,15,15,14,12,11
"Uruguay","URY",14,14,14,13,11,10
"United States","USA",13,12,12,12,11,10
"Uzbekistan","UZB",22,21,23,22,23,24
"St. Vincent and the Grenadines","VCT",16,16,16,15,13,13
"Venezuela, RB","VEN",20,20,19,18,17,16
"British Virgin Islands","VGB",9,9,9,7,7,7
"Virgin Islands (U.S.)","VIR",14,13,13,13,12,12
"Vietnam","VNM",16,17,16,16,15,15
"Vanuatu","VUT",33,33,32,32,30,29
"World","WLD",20,20,19,19,18,17
"Samoa","WSM",30,30,29,28,28,27
"Kosovo","XKX",19,16,14,12,12,11
"Yemen, Rep.","YEM",35,35,34,33,32,31
"South Africa","ZAF",22,22,22,20,21,20
"Zambia","ZMB",41,40,38,37,36,34
"Zimbabwe","ZWE",37,36,35,33,32,31
